Class ID,Class Name,Count,Percentage,Weight (Inv Freq),Weight (Sqrt)
2,military_tank,7822,39.19623170976148,0.0026902062903175366,0.1055669230785993
10,military_aircraft,3510,17.588695129284424,0.0059950978925537805,0.1575916530611616
6,soldier,2991,14.987973541791943,0.007035370646226604,0.1707177046121082
0,camouflage_soldier,2070,10.37282020444979,0.010165600774330324,0.20521145356070414
4,military_vehicle,947,4.745439967929445,0.022220478989296483,0.30339734766870724
11,military_warship,923,4.625175385848868,0.0227982595914017,0.30731652859140207
3,military_truck,623,3.1218681098416514,0.03377655473974923,0.374061271691208
1,weapon,541,2.710964121066346,0.0388961064747944,0.40140995309962985
7,civilian_vehicle,270,1.3529765484064944,0.07793627260319914,0.5682047856971497
8,military_artillery,239,1.1976347965524154,0.08804516151825845,0.6039316899776694
5,civilian,18,0.09019843656043296,1.1690440890479872,2.200647672240415
9,trench,2,0.010022048506714773,10.521396801431885,6.601943016721246
